sampleID	shannon_div	simpson_div	chao_richness	shannon_evenness	obs_richness
E1-GP01-D1	4.753860408633146	0.028310855235118195	1187.2518797425262	0.6942341878860061	941.5457587327778
E1-GP01-D2	4.877963935299274	0.017643026050447812	749.0305361128077	0.7551834126642861	638.1466561350545
E1-GP01-D3	4.938346427676432	0.023800262024881454	919.8558694979176	0.7420497460599048	775.682014412268
E1-GP01-D4	4.4200546672612395	0.0324485431502908	594.7591224090557	0.7112893541683395	502.5852866261135
E1-GP01-D5	4.114113158525135	0.031906120821858355	295.34640723805614	0.7338729740936618	270.9402591472571
E1-GP01-D6	3.6097159192474173	0.05269343524738419	252.60945529457524	0.6777577620573101	205.56552793557663
E1-GP01-D7	3.3703228735188433	0.05644757339695969	113.1431896071459	0.7508829738729867	89.20667200765384
E1-GP02-D2	6.687119534218324	0.0016782220923959746	1184.1776993877459	0.9462011239398065	1172.4884019437334
E1-GP02-D3	0.9435998442780462	0.5299791107101566	85.06372806031173	0.2178910410229612	77.54604713855392
E1-GP02-D4	1.3552650515556248	0.3616511143312937	91.82920090330123	0.3276325241358089	64.06533588957342
E1-GP02-D5	0.9759629008173714	0.5065690144931813	22.731052867556915	0.326863154160002	20.229666910855528
E1-GP02-D6	1.1329548502863973	0.44108119678253094	95.23490917114313	0.27824957852921073	58.496940079637184
E1-GP02-D7	0.9804816154450435	0.4706270643645837	103.18337596598148	0.24133243684161576	58.941241351791895
E1-GP02-D8	2.9323742743864805	0.14131503815311341	133.95452305315416	0.6009486927980265	130.97070622137954
E1-GP03-D1	5.395645046140821	0.018477732296926716	1648.8770522372483	0.7493399756071696	1326.4570480357104
E1-GP03-D2	5.348723566434388	0.011790423705035377	1104.003721135404	0.782735330904397	924.9187258362838
E1-GP03-D3	4.839903817534163	0.027556650227346675	827.6536338597149	0.7386045122245979	706.8443229878128
E1-GP03-D4	4.962738429476947	0.014535102494801649	516.7959779697276	0.8074553738409536	466.5793739243845
E1-GP03-D5	3.4843228487773805	0.09570439050414349	138.32661623320777	0.7182844965210602	127.53914063806889
E1-GP03-D6	2.5493151530224196	0.13437400507461467	84.3280099507976	0.6432022996099205	52.87062631095641
E1-GP03-D7	4.167836301575542	0.029509128897665306	174.78419828134284	0.8148690905556993	167.02818833331355
E1-GP04-D2	6.718833670077228	0.001386283630732621	1182.4691170180997	0.9510583557616837	1170.0187243115352
E1-GP04-D3	1.6021949562361493	0.4326667957392375	84.9954445024958	0.3600429778728046	85.2161005142579
E1-GP04-D4	0.9638394811754313	0.539598622392936	74.34978700167821	0.24036394157767782	55.89415996761156
E1-GP04-D5	1.2666549805999991	0.4361056853089159	63.44964918060223	0.3258431124504404	48.36055238274555
E1-GP04-D6	1.3739604479347256	0.43268944589875485	114.80927434472007	0.31307511882753336	79.25206330281927
E1-GP04-D7	1.2666657388303821	0.4037880406667329	87.49295270438735	0.31333098301452034	56.269918804677346
E1-GP04-D8	2.722979629214163	0.21861230022984918	128.2006029094398	0.562785332799417	125.73952399738029
E1-GP05-D1	5.550191197613747	0.010558759633196049	1364.621484237598	0.7881104524766234	1144.940115286143
E1-GP05-D2	5.764316217255977	0.009862145447612752	1411.8630590154767	0.8148446395362486	1183.7108989048927
E1-GP05-D3	5.877458292577307	0.006062454681178721	1284.220964342792	0.8381708231739787	1105.3178784823367
E1-GP05-D4	5.623862839710445	0.00918628884148125	1069.082709617215	0.8210741927042481	940.7001243573637
E1-GP05-D5	5.332681849303752	0.010631918769167584	759.5690451008278	0.8160435239879122	690.4709253421499
E1-GP05-D6	5.165104993680791	0.011922949242046142	635.2987303368151	0.8140521715612317	568.9197452710022
E1-GP05-D7	3.2457974682115625	0.09675941959655639	172.19962670943798	0.677907592946505	120.5224892746437
E1-GP06-D2	6.0994130933018065	0.015057622101798056	1125.6370086542138	0.8665177021907725	1139.8318067927664
E1-GP06-D3	1.9458775189377753	0.38511395035912044	102.00212390027811	0.4244502364473577	97.46199866563914
E1-GP06-D4	1.8152007903980558	0.2725548561364885	139.41782268305272	0.3948788947543763	99.14333375903979
E1-GP06-D5	2.062903663224662	0.21702268156559187	164.38806344536297	0.433743490263488	118.16926288210104
E1-GP06-D6	1.8900630334938782	0.21547901891791862	95.13232645004474	0.4382602045155516	74.29495677237793
E1-GP06-D7	2.010027227658575	0.22609261089643756	196.79293002971875	0.41015670263300075	136.7641808858059
E1-GP06-D8	1.7507532521912772	0.2777880343952744	146.43000770887397	0.36268619883795916	125.92186924416579
E1-GP07-D1	4.783812612619288	0.02854591564195781	1027.4722241688162	0.7124927407128269	823.1951499583384
E1-GP07-D2	5.808898285084895	0.005605189070756456	1240.6359630119632	0.8367207284492847	1038.8140725641197
E1-GP07-D3	5.870349149866229	0.00510061078729141	1107.7344244526987	0.8536389364574155	969.0638117764362
E1-GP07-D4	5.541223497311698	0.007500567738434981	721.2053124169687	0.8537004929520207	660.9230109540514
E1-GP07-D5	5.280659451140303	0.00965935168144559	507.72558977223485	0.8544903307158203	483.0713106277554
E1-GP07-D6	5.1263812138355345	0.00912440952640513	362.47667353825636	0.8808535047741185	336.7858997829948
E1-GP07-D7	3.100774448696502	0.06448688179626266	284.995907860459	0.588316379534271	194.14061827214542
E1-GP08-D2	6.736236551601054	0.0013457541840463019	1191.7056396683859	0.9532535612358984	1173.907013560939
E1-GP08-D3	1.776836921771311	0.257187759898931	188.69000923709464	0.3493425761758375	161.36586699256205
E1-GP08-D4	1.7695284286869093	0.30562144189556767	172.67844148292133	0.3647779480089709	126.81308367108277
